Time (Ga),Seaf (Tmol/yr)
3.52078E-05,0.426894344
0.313441671,0.480256137
0.499013082,0.53361793
0.771186832,0.640341515
0.993876047,0.747065101
1.496973231,0.800426894
1.995946704,0.853788687
2.499083497,1.387406617
2.989915171,2.721451441
3.497268096,4.375667022
3.757180737,5.816435432
4.000673349,8.164354322
