Time (Ga),Cont (Tmol/yr)
0.000832872,9.619675156
0.334214225,10.1742979
0.667610104,10.89670568
1.174224055,12.28783244
1.672247799,14.46207707
2.179002175,17.47512581
2.733501441,21.94164567
3.14088253,27.19322032
3.479203009,34.79475387
3.683256724,41.61516699
3.84848019,49.94619015
