Time (Ga),Cont (Tmol/yr)
0.000484228,5.592834393
0.247251703,5.757169299
0.494009493,5.809647518
0.727736706,5.358952227
0.931146398,4.740895604
1.048019689,4.627404646
1.303430635,4.623833464
1.697388921,4.842038746
1.896527721,4.895182778
2.117277621,4.55652576
2.281716637,3.827157206
2.511085797,3.04095238
2.827044623,2.365393671
3.173340338,2.080909671
3.623551401,2.018686362
3.995835638,1.901624222
